scenario,model_seed,A0_entropy_mean,A0D_entropy_mean,delta_entropy_mean,A0_row_std_mean,A0D_row_std_mean,delta_row_std_mean,A0_evidence_mass_mean,A0D_evidence_mass_mean,delta_evidence_mass_mean,A0_track_mass_mean,A0D_track_mass_mean,delta_track_mass_mean,A0_own_track_mass_mean,A0D_own_track_mass_mean,delta_own_track_mass_mean,A0_other_track_mass_mean,A0D_other_track_mass_mean,delta_other_track_mass_mean,A0_evidence_to_track_mass_ratio,A0D_evidence_to_track_mass_ratio,delta_evidence_to_track_mass_ratio
S1R,0,1.609437904528293,1.4576497931150165,-0.15178811141327642,6.30292945495298e-10,0.07905913149163664,0.0790591308613437,0.4000373293330384,0.42358158880109675,0.023544259468058326,0.599962662459887,0.576418411188354,-0.023544251271533034,0.1999875541518572,0.3473513727212557,0.1473638185693985,0.39997510830802985,0.22906703846709833,-0.17090806984093151,0.6667703748310914,0.7348509009763129,0.06808052614522153
S1R,1,1.6004938207665846,1.5262707084771425,-0.07422311228944212,5.115212547722287e-05,0.057872622430948296,0.05782147030547107,0.44515035710484435,0.4160920670640631,-0.029058290040781254,0.5548496426194,0.5839079328005944,0.029058290181194435,0.1849499988989177,0.3200686752496251,0.13511867635070743,0.36989964372048234,0.2638392575509693,-0.10606038616951302,0.8022900672753898,0.7125987569108079,-0.08969131036458189
S1R,2,1.609437908832764,1.4775388318975273,-0.13189907693523661,6.443304947486128e-10,0.07464024697456666,0.07464024633023617,0.3999996806264286,0.37940949068285706,-0.020590189943571535,0.6000003134659708,0.6205905093047083,0.020590195838737446,0.20000010449045505,0.34559503025792015,0.1455949257674651,0.4000002089755158,0.2749954790467881,-0.1250047299287277,0.666665786082318,0.6113685030535457,-0.05529728302877224
S1R,3,1.6094379003970907,1.5543934490677018,-0.055044451329388844,7.775969401313365e-08,0.031229499858416797,0.031229422098722783,0.399979367676789,0.40256427254085747,0.0025849048640684824,0.6000206159409961,0.5974357274852105,-0.002584888455785639,0.20000687198033204,0.2641132534746714,0.06410638149433937,0.4000137439606641,0.333322474010539,-0.06669126995012509,0.6666093748287502,0.67382021867921,0.0072108438504598915
S1R,4,1.5062022888660038,1.484930591990581,-0.02127169687542274,0.00018604749201662571,0.08069037951069302,0.08050433201867639,0.2914504827141261,0.43881999094081275,0.14736950822668665,0.7085495172483297,0.5611800092181162,-0.14736950803021354,0.23600283173508155,0.3376934780942882,0.10169064635920663,0.47254668551324813,0.22348653112382805,-0.24906015438942009,0.4113339655441183,0.781959413615275,0.3706254480711567
S2R,0,1.6094379056492476,1.4607928558993215,-0.1486450497499261,5.156399564117559e-10,0.07441892147934848,0.07441892096370852,0.4000372675029292,0.4292178730540418,0.029180605551112626,0.5999627261132632,0.5707821270387972,-0.029180599074466018,0.19998757537576278,0.3297274275228668,0.12973985214710404,0.3999751507375004,0.24105469951593034,-0.15892045122157006,0.6667702010331367,0.7519819782739396,0.08521177724080298
S2R,1,1.5953127062519912,1.4873233728197157,-0.10798933343227546,5.978648996360813e-05,0.07125488609002571,0.07119509960006211,0.46285227921810523,0.3930337253355446,-0.06981855388256064,0.5371477208448999,0.606966274383818,0.06981855353891808,0.17904790826152622,0.35119461291252513,0.1721467046509989,0.3580998125833737,0.2557716614712928,-0.10232815111208088,0.8616852706552816,0.6475379966284714,-0.2141472740268101
S2R,2,1.609437909011696,1.4720990868556842,-0.13733882215601168,7.348158747111252e-10,0.06454616474312753,0.06454616400831166,0.3999999677870814,0.41212799460249244,0.01212802681541103,0.6000000265981196,0.5878720053253021,-0.012128021272817424,0.20000000885503555,0.3055265862024865,0.10552657734745097,0.4000000177430841,0.28234541912281563,-0.11765459862026845,0.6666665834250065,0.7010505532993346,0.034383969874328124
S2R,3,1.6094379014302393,1.5176439109897513,-0.09179399044048808,1.0824737500093291e-07,0.03185802475922615,0.03185791651185115,0.39997643991234577,0.41867234592474056,0.018695906012394792,0.6000235453597573,0.5813276539419667,-0.0186958914177906,0.20000784845325245,0.2571867964090496,0.05717894795579717,0.4000156969065049,0.3241408575329171,-0.0758748393735878,0.6666012409105231,0.7202002916698268,0.05359905075930371
S2R,4,1.5985206839086719,1.4574396206853932,-0.14108106322327862,0.00029360429860348926,0.08136537176572282,0.08107176746711933,0.36973627398614256,0.46223460460432864,0.09249833061818608,0.6302637268081113,0.5377653953650858,-0.09249833144302544,0.20998693694841455,0.33379800370065,0.12381106675223544,0.4202767898596968,0.20396739166443578,-0.21630939819526102,0.5866373999637007,0.8595469485174296,0.27290954855372895
