method,scenario,model_seed,p_node,m_node,mean_mp_attn
A0D,S1R,0,P1,M1,0.33842232657853777
A0D,S1R,0,P1,M2,0.12628682002920388
A0D,S1R,0,P1,M3,0.12465633953396364
A0D,S1R,0,P1,M4,0.21205288754977597
A0D,S1R,0,P1,M5,0.19858162630022505
A0D,S1R,0,P2,M1,0.11860022395796634
A0D,S1R,0,P2,M2,0.35793904003749505
A0D,S1R,0,P2,M3,0.12677949230541855
A0D,S1R,0,P2,M4,0.2018343244227164
A0D,S1R,0,P2,M5,0.19484691926804926
A0D,S1R,0,P3,M1,0.09166567809726042
A0D,S1R,0,P3,M2,0.0992125614774822
A0D,S1R,0,P3,M3,0.3456927515477343
A0D,S1R,0,P3,M4,0.23164110986612368
A0D,S1R,0,P3,M5,0.23178789899639987
A0D,S2R,0,P1,M1,0.3115398601111798
A0D,S2R,0,P1,M2,0.13428320710609573
A0D,S2R,0,P1,M3,0.12985746407546395
A0D,S2R,0,P1,M4,0.195323646008211
A0D,S2R,0,P1,M5,0.2289958224216756
A0D,S2R,0,P2,M1,0.11273381873584157
A0D,S2R,0,P2,M2,0.34285595015688214
A0D,S2R,0,P2,M3,0.12402359164885522
A0D,S2R,0,P2,M4,0.17225888899748387
A0D,S2R,0,P2,M5,0.24812775059262507
A0D,S2R,0,P3,M1,0.10376561574972065
A0D,S2R,0,P3,M2,0.11850040123181386
A0D,S2R,0,P3,M3,0.3347864723005385
A0D,S2R,0,P3,M4,0.19865355645186047
A0D,S2R,0,P3,M5,0.2442939546902694
A0D,S1R,1,P1,M1,0.31142488258440115
A0D,S1R,1,P1,M2,0.13486580568277556
A0D,S1R,1,P1,M3,0.13735900068450088
A0D,S1R,1,P1,M4,0.215579935278805
A0D,S1R,1,P1,M5,0.2007703756060707
A0D,S1R,1,P2,M1,0.12866977212989425
A0D,S1R,1,P2,M2,0.3227014624993507
A0D,S1R,1,P2,M3,0.13468345298183407
A0D,S1R,1,P2,M4,0.2136816989080244
A0D,S1R,1,P2,M5,0.2002636133096821
A0D,S1R,1,P3,M1,0.12631319133009758
A0D,S1R,1,P3,M2,0.12962654984380553
A0D,S1R,1,P3,M3,0.3260796806651235
A0D,S1R,1,P3,M4,0.2168269142356388
A0D,S1R,1,P3,M5,0.20115366385396827
A0D,S2R,1,P1,M1,0.344547570173788
A0D,S2R,1,P1,M2,0.13397731930680967
A0D,S2R,1,P1,M3,0.13477676113764817
