method,scenario,model_seed,file,skipped_metrics
A0,S1R,0,E:\migration_packages\results\phase2_me_a0_only\eval_details\phase1r_mixed_ME_RGCF_A0__modelseed0__test_S1R_errors.csv,{'pair': 'missing mp_pair_res/rank evidence columns'}
A0,S2R,0,E:\migration_packages\results\phase2_me_a0_only\eval_details\phase1r_mixed_ME_RGCF_A0__modelseed0__test_S2R_errors.csv,{'pair': 'missing mp_pair_res/rank evidence columns'}
A0,S1R,1,E:\migration_packages\results\phase2_me_a0_only\eval_details\phase1r_mixed_ME_RGCF_A0__modelseed1__test_S1R_errors.csv,{'pair': 'missing mp_pair_res/rank evidence columns'}
A0,S2R,1,E:\migration_packages\results\phase2_me_a0_only\eval_details\phase1r_mixed_ME_RGCF_A0__modelseed1__test_S2R_errors.csv,{'pair': 'missing mp_pair_res/rank evidence columns'}
A0,S1R,2,E:\migration_packages\results\phase2_me_a0_only\eval_details\phase1r_mixed_ME_RGCF_A0__modelseed2__test_S1R_errors.csv,{'pair': 'missing mp_pair_res/rank evidence columns'}
A0,S2R,2,E:\migration_packages\results\phase2_me_a0_only\eval_details\phase1r_mixed_ME_RGCF_A0__modelseed2__test_S2R_errors.csv,{'pair': 'missing mp_pair_res/rank evidence columns'}
A0,S1R,3,E:\migration_packages\results\phase2_me_a0_only\eval_details\phase1r_mixed_ME_RGCF_A0__modelseed3__test_S1R_errors.csv,{'pair': 'missing mp_pair_res/rank evidence columns'}
A0,S2R,3,E:\migration_packages\results\phase2_me_a0_only\eval_details\phase1r_mixed_ME_RGCF_A0__modelseed3__test_S2R_errors.csv,{'pair': 'missing mp_pair_res/rank evidence columns'}
A0,S1R,4,E:\migration_packages\results\phase2_me_a0_only\eval_details\phase1r_mixed_ME_RGCF_A0__modelseed4__test_S1R_errors.csv,{'pair': 'missing mp_pair_res/rank evidence columns'}
A0,S2R,4,E:\migration_packages\results\phase2_me_a0_only\eval_details\phase1r_mixed_ME_RGCF_A0__modelseed4__test_S2R_errors.csv,{'pair': 'missing mp_pair_res/rank evidence columns'}
