method,scenario,model_seed,error_bin,num_rows,bin_num_rows,bin_entropy_mean,bin_entropy_std,bin_entropy_p95,bin_row_std_mean,bin_row_std_p95,bin_evidence_mass_mean,bin_track_mass_mean,bin_own_track_mass_mean,bin_other_track_mass_mean,bin_evidence_to_track_mass_ratio,entropy_mean,row_std_mean,evidence_mass_mean,track_mass_mean,own_track_mass_mean,other_track_mass_mean,evidence_to_track_mass_ratio,raw_residual_corr,residual_log_corr,residual_centered_corr,evidence_normalized_corr,within_evidence_gap_corr,low_spread_corr,low_spread_n_pairs,mid_spread_corr,mid_spread_n_pairs,high_spread_corr,high_spread_n_pairs,spread_low_threshold,spread_high_threshold,ranking_events,worst_track_hit_rate,top2_hit_rate,spearman_rank_corr,kendall_tau,worst_minus_best_attn,worst_minus_mean_attn,error_pos_n,error_pos_mean,error_pos_std,error_pos_min,error_pos_max,high_spread_event_share,w_s1_mean,w_s2_mean,w_s3_mean,g_s1_mean,g_s2_mean,g_s3_mean,cov_scale_s1_mean,cov_scale_s2_mean,cov_scale_s3_mean
A0D,S1R,0,low_error,61,61,1.4293891923916546,0.01633588397322648,1.4565497588628658,0.0705712967882198,0.11757158749012309,0.1774924774476088,0.8225075236923708,0.4318171628837377,0.39069036080863306,0.21579435121859558,1.4293891923916546,0.0705712967882198,0.1774924774476088,0.8225075236923708,0.4318171628837377,0.39069036080863306,0.21579435121859558,0.9930133766929492,0.24921918684144026,0.6852211627413829,0.6284962491120504,0.9984253787963729,0.9934092019780396,111,0.9941666307099264,108,0.9942209737669484,111,0.04699320793151855,0.19921600110828874,122,1.0,1.0,1.0,1.0,0.02246067196619315,0.017092840043736287,61,0.4265904383825474,0.12703619631473317,0.12145576626062393,0.6332883834838867,0.21311475409836064,0.33385037789579297,0.3334893247143167,0.3326603027640796,0.6807702779769897,0.6806832131792288,0.680346182135285,1.6929760057418073,1.693149386859331,1.6936147916512412
A0D,S1R,0,mid_error,80,80,1.4290282683124482,0.01564909342237532,1.4564294672786369,0.07075561194294512,0.11768571556067652,0.1773455422061185,0.822654458321631,0.4320691615343094,0.39058529678732157,0.21557719697761876,1.4290282683124482,0.07075561194294512,0.1773455422061185,0.822654458321631,0.4320691615343094,0.39058529678732157,0.21557719697761876,0.9923739858136709,0.32300993310638293,0.6605985586941001,0.6893771393331806,0.9982390156847979,0.9929780625897995,144,0.9938111631148453,144,0.9934295614108897,144,0.05332597736269235,0.28581777065992353,160,1.0,1.0,1.0,1.0,0.023059915052726865,0.01755214056465775,80,1.0266758248209953,0.2047426664638402,0.638323187828064,1.3586963415145874,0.33125,0.33403755612671376,0.3330068875104189,0.3329555530101061,0.6809391945600509,0.6806363314390182,0.6805363699793816,1.6928433567285537,1.693381094932556,1.69339909106493
A0D,S1R,0,high_error,60,60,1.429124439078624,0.01551302203921368,1.4556946878117647,0.07077280986152536,0.11759935663301896,0.1774576192514764,0.8225423812038368,0.43205653809838823,0.3904858431054486,0.21574282773339562,1.429124439078624,0.07077280986152536,0.1774576192514764,0.8225423812038368,0.43205653809838823,0.3904858431054486,0.21574282773339562,0.9921194725181525,0.3379725437337445,0.6510249694185206,0.6905333503724178,0.9985658999895275,0.9913120680309067,108,0.9943679594071642,108,0.9927566170604452,108,0.06886471202597022,0.3299893826246261,120,1.0,1.0,1.0,1.0,0.023096822015941144,0.017614665968964497,60,1.7107607026894887,0.4976041163796884,1.3652485609054565,3.774522542953491,0.35,0.33401866306861244,0.3329175472259521,0.3330637906988462,0.6809937238693238,0.680665843685468,0.680632405479749,1.6928268015384673,1.6934054354826609,1.693312547604243
A0D,S1R,0,tail_error,11,11,1.4293009202183666,0.017185347818214868,1.459198395144537,0.07085468479573985,0.11778980552261055,0.17775484896970517,0.822245156674674,0.4320767955346541,0.39016836114001996,0.21618229980044126,1.4293009202183666,0.07085468479573985,0.17775484896970517,0.822245156674674,0.4320767955346541,0.39016836114001996,0.21618229980044126,0.9930261275587746,0.46366587942369797,0.6750522665343369,0.6369931328450638,0.9985091505676622,0.9925833139691765,21,0.9946698005053,18,0.9959805218013346,21,0.09068774580955505,0.3721909075975417,22,1.0,1.0,1.0,1.0,0.02328171411698515,0.01772250827740539,11,2.4451253089037808,0.8115126321838241,1.7716200351715088,3.774522542953491,0.4090909090909091,0.33416231924837286,0.3319499140435999,0.33388776128942316,0.6813197081739252,0.6806349862705577,0.681157724423842,1.6926608627492732,1.6938342506235295,1.6927422826940364
A0D,S2R,0,low_error,61,61,1.4286959131131718,0.014537840354087034,1.455409951689717,0.0708107817440942,0.11763284348701646,0.17714575959033654,0.8228542402468092,0.43230760976916455,0.3905466304776447,0.21528206446041154,1.4286959131131718,0.0708107817440942,0.17714575959033654,0.8228542402468092,0.43230760976916455,0.3905466304776447,0.21528206446041154,0.9921221752896392,0.3069969927722815,0.68339912880221,0.7111084201445932,0.9986430484592436,0.993306970517987,111,0.9935743668307787,108,0.9935118272188057,111,0.053544664382934565,0.28891099691390976,122,1.0,1.0,1.0,1.0,0.022953158885729116,0.01749666526791502,61,0.6539334009905331,0.19587090677294086,0.22539517283439636,0.9519174695014954,0.3114754098360656,0.3340211798910235,0.33314320005354336,0.33283561907830783,0.680927152516412,0.6806749496303621,0.6804981261003212,1.6928423056836988,1.6933018457694131,1.6934634153960182
A0D,S2R,0,mid_error,80,80,1.4287472365860552,0.01588348697454307,1.4563289048692762,0.07083424301060638,0.11775726016638328,0.17721512171750267,0.8227848770096898,0.4322853900492191,0.39049948696047065,0.21538451504063758,1.4287472365860552,0.07083424301060638,0.17721512171750267,0.8227848770096898,0.4322853900492191,0.39049948696047065,0.21538451504063758,0.9926474989412062,0.33058914757562924,0.6584638469560139,0.6851094649021556,0.9984469623595087,0.9932838084570406,144,0.9940306483273076,144,0.9930931094136931,144,0.06189164146780967,0.2724696815013885,160,1.0,1.0,1.0,1.0,0.023092179233208297,0.01763446875847876,80,1.2752520084381103,0.15176665464300518,0.9695050120353699,1.546580195426941,0.29375,0.33401469737291334,0.333104332908988,0.3328809719532728,0.680949331074953,0.6806824862957,0.680535364896059,1.6928355306386949,1.6933128833770752,1.6934266284108161
A0D,S2R,0,high_error,60,60,1.428442983871421,0.0156781009291078,1.4559046373631404,0.07082994953254691,0.11774494571916316,0.176972594898608,0.823027405805058,0.43244438568751015,0.39058302011754775,0.21502636929264746,1.428442983871421,0.07082994953254691,0.176972594898608,0.823027405805058,0.43244438568751015,0.39058302011754775,0.21502636929264746,0.9923686054707819,0.33836699922644675,0.6623067170891532,0.6659003336846838,0.9985100983687105,0.9925956884819722,108,0.9943330657078746,108,0.9941987038860626,108,0.07006068825721737,0.2747061520814896,120,1.0,1.0,1.0,1.0,0.022862744393448035,0.017463186631600063,60,1.923919775088628,0.4575731285163327,1.5575358867645264,3.778550386428833,0.3,0.33390408009290695,0.3332442899545034,0.33285161952177683,0.6809317449728648,0.6807382524013519,0.6805529028177262,1.6928787708282471,1.6932223975658416,1.693430366118749
A0D,S2R,0,tail_error,11,11,1.4283363194701086,0.015620427750750588,1.4556022658478471,0.07098797261715857,0.1177920838366001,0.17698305687218002,0.8230169424504945,0.432505985101064,0.3905109573494304,0.2150418147471196,1.4283363194701086,0.07098797261715857,0.17698305687218002,0.8230169424504945,0.432505985101064,0.3905109573494304,0.2150418147471196,0.9933935556937576,0.5351265474635507,0.7640990469487312,0.7214830058769512,0.9986649016464626,0.9941262443077318,21,0.9958326913642571,18,0.9945528921390078,21,0.1512885570526123,0.6555151015520095,22,1.0,1.0,1.0,1.0,0.023686655204404484,0.018035269596359947,11,2.6428123604167593,0.6682464886718017,2.0593366622924805,3.778550386428833,0.5,0.33393643390048633,0.3328402042388916,0.33322335915132,0.6810864589431069,0.6807603727687489,0.6808127815073187,1.692811662500555,1.693395029414784,1.6931705474853516
A0D,S1R,1,low_error,61,61,1.332388310077026,0.01639301422016889,1.3601591465955758,0.07063721710438214,0.11771791023698527,0.10635725146190064,0.8936427516526864,0.45870772346121363,0.4349350281914727,0.11901540214499083,1.332388310077026,0.07063721710438214,0.10635725146190064,0.8936427516526864,0.45870772346121363,0.4349350281914727,0.11901540214499083,0.9923696951217238,0.3011160334941417,0.6956425541991513,0.6269492238876129,0.9945395507264276,0.9939020762873528,111,0.9897012904899021,108,0.9938001247752766,111,0.04699320793151855,0.19921600110828874,122,1.0,1.0,1.0,1.0,0.014668913252773832,0.011222258683477268,61,0.4266088236062253,0.1270298214820443,0.1215280145406723,0.633417546749115,0.21311475409836064,0.33372093566128463,0.33349704302725247,0.33278202082290026,0.6617059863981654,0.6616126191420634,0.661311613731697,1.5929261895476794,1.593202946616001,1.5942542357522933
A0D,S1R,1,mid_error,80,80,1.3316314791132247,0.015439979868723074,1.358869718273979,0.07074846208625694,0.11777340339181194,0.10598827839518586,0.8940117221946517,0.45899650814632575,0.435015214048326,0.11855356676420536,1.3316314791132247,0.07074846208625694,0.10598827839518586,0.8940117221946517,0.45899650814632575,0.435015214048326,0.11855356676420536,0.9913657952247146,0.3666280139780218,0.6714777703885718,0.6874829257654589,0.9940149684231748,0.9925243514311887,144,0.990436943071892,144,0.9939353563987672,144,0.05332597736269235,0.28581777065992353,160,1.0,1.0,1.0,1.0,0.01492142879869789,0.011416276823729277,80,1.0269095323979855,0.20474272320822726,0.6382083296775818,1.3594483137130737,0.33125,0.3337797552347183,0.3332505889236927,0.33296966217458246,0.6616028919816017,0.6613762632012368,0.6612403072416783,1.5930909261107444,1.593810471892357,1.5942051902413368
