method,scenario,model_seed,file,num_rows,entropy_mean,entropy_std,entropy_p95,row_std_mean,row_std_p95,evidence_mass_mean,track_mass_mean,own_track_mass_mean,other_track_mass_mean,evidence_to_track_mass_ratio,error_pos_n,error_pos_mean,error_pos_std,error_pos_min,error_pos_max,raw_residual_corr,residual_log_corr,residual_centered_corr,evidence_normalized_corr,within_evidence_gap_corr,low_spread_corr,low_spread_n_pairs,mid_spread_corr,mid_spread_n_pairs,high_spread_corr,high_spread_n_pairs,spread_low_threshold,spread_high_threshold,ranking_events,worst_track_hit_rate,top2_hit_rate,spearman_rank_corr,kendall_tau,worst_minus_best_attn,worst_minus_mean_attn,high_spread_ranking_events,high_spread_worst_track_hit_rate,high_spread_top2_hit_rate,high_spread_spearman_rank_corr,high_spread_kendall_tau,high_spread_worst_minus_best_attn,high_spread_worst_minus_mean_attn,downstream_events,delta_w_mean,delta_g_mean,delta_cov_mean,worst_low_weight_rate,worst_low_gate_rate,worst_high_cov_rate,delta_error_sensor_skipped,skipped_metrics
A0D,S1R,0,D:\code\python\project-2\project_root\results\phase2_me_a0_dir_hs_only\eval_details\phase1r_mixed_ME_RGCF_A0D_HS__modelseed0__test_S1R_errors.csv,201,1.4291665101771356,0.0157950661129221,1.4564221907002244,0.07070480920999273,0.11761042900329487,0.17742359032777213,0.8225764103641557,0.43198891614206986,0.3905874942220859,0.2156925339607374,201,1.0487648004397232,0.5866661056273526,0.12145576626062393,3.774522542953491,0.9924014212903491,0.3052509251364407,0.6511700034661032,0.6718329450211663,0.9983723705124755,0.9927405504528701,363,0.9937665200945988,360,0.9931921954140046,363,0.05413440763950348,0.25427899509668345,402,1.0,1.0,1.0,1.0,0.02288907221448955,0.01743141515412141,121,1.0,1.0,1.0,1.0,0.02341143411299414,0.01791685588719431,121,-0.0001608696111962815,-7.243491401357098e-05,8.159728089639963e-05,0.5206611570247934,0.5041322314049587,0.5206611570247934,not available in eval_details,
A0D,S2R,0,D:\code\python\project-2\project_root\results\phase2_me_a0_dir_hs_only\eval_details\phase1r_mixed_ME_RGCF_A0D_HS__modelseed0__test_S2R_errors.csv,201,1.4286408390998666,0.01540001850783847,1.4559975531295304,0.07082584128950782,0.11769472879554575,0.1771216754543643,0.8228783241996718,0.4323395947318765,0.3905387294677953,0.21524649543616567,201,1.2803247992079057,0.5712434829377527,0.22539517283439636,3.778550386428833,0.9923829628029026,0.3247508225640331,0.6645849392832858,0.6874900770811266,0.9985252998443501,0.9930397440775326,363,0.993522765246481,360,0.9935467968682973,363,0.058470167219638824,0.2777237445116043,402,1.0,1.0,1.0,1.0,0.02298150096663195,0.017541518805557814,121,1.0,1.0,1.0,1.0,0.02372078689908193,0.018183715148898195,121,-0.00010916184295307507,-5.445918761009027e-05,5.25333664634011e-05,0.512396694214876,0.48760330578512395,0.5041322314049587,not available in eval_details,
A0D,S1R,1,D:\code\python\project-2\project_root\results\phase2_me_a0_dir_hs_only\eval_details\phase1r_mixed_ME_RGCF_A0D_HS__modelseed1__test_S1R_errors.csv,201,1.3319537409525197,0.015731292410067956,1.3594224678448887,0.07071221153171091,0.11776246793135693,0.10614838571616667,0.8938516153279031,0.45886802332318244,0.43498359200472064,0.11875392279425134,201,1.0488996939427817,0.5866104399729352,0.1215280145406723,3.7731921672821045,0.9909478634137092,0.35353100998976295,0.6609024061576899,0.6698214850444983,0.9943590648720858,0.9927881740952923,363,0.9889604290020576,360,0.9927638991557447,363,0.05413440763950348,0.25427899509668345,402,1.0,1.0,1.0,1.0,0.014893004318597304,0.011393922450604723,121,1.0,1.0,1.0,1.0,0.015515831045129082,0.01190512912147794,121,-0.00010691004351150891,-5.27501106262207e-05,0.00014075168893356953,0.47107438016528924,0.47107438016528924,0.47107438016528924,not available in eval_details,
A0D,S2R,1,D:\code\python\project-2\project_root\results\phase2_me_a0_dir_hs_only\eval_details\phase1r_mixed_ME_RGCF_A0D_HS__modelseed1__test_S2R_errors.csv,201,1.331805916850488,0.015367151002038842,1.3594489249056714,0.07074963499758452,0.11777311048429749,0.10608821915181517,0.8939117797670475,0.4589414427035286,0.4349703370635189,0.1186786230509924,201,1.2804363434439274,0.5711357181561406,0.2256896197795868,3.77726411819458,0.9910465327020707,0.3756856747819598,0.6744707621240654,0.6853678357774639,0.9948337311491591,0.9922151645129367,363,0.9901088061679622,360,0.9930353146758832,363,0.058470167219638824,0.2777237445116043,402,1.0,1.0,1.0,1.0,0.014983689088133438,0.01146640533590643,121,1.0,1.0,1.0,1.0,0.01568920547065656,0.012053906086308897,121,-7.596254841355253e-05,-3.861346520668219e-05,9.961857283410947e-05,0.4628099173553719,0.4628099173553719,0.4628099173553719,not available in eval_details,
A0D,S1R,2,D:\code\python\project-2\project_root\results\phase2_me_a0_dir_hs_only\eval_details\phase1r_mixed_ME_RGCF_A0D_HS__modelseed2__test_S1R_errors.csv,201,1.5064412333895205,0.01278285913356183,1.528215898914033,0.057837944934622854,0.09557974076817632,0.23871524457759524,0.7612847537543643,0.37885818987541137,0.38242656387895296,0.31356892857809543,201,1.04871478417323,0.5872052854047302,0.1171967089176178,3.7739462852478027,0.9889394661031661,0.2250714295713764,0.6324371424791538,0.6730915845114747,0.9985232542643913,0.9889559832536053,363,0.989435610668292,360,0.9885569656279314,363,0.05413440763950348,0.25427899509668345,402,1.0,1.0,1.0,1.0,0.028924955935472278,0.022103295314000612,121,1.0,1.0,1.0,1.0,0.028750160201029343,0.02203755111487444,121,-0.0011821963077734325,-0.0003909402149767915,0.0014768168945943029,0.5537190082644629,0.5619834710743802,0.5537190082644629,not available in eval_details,
A0D,S2R,2,D:\code\python\project-2\project_root\results\phase2_me_a0_dir_hs_only\eval_details\phase1r_mixed_ME_RGCF_A0D_HS__modelseed2__test_S2R_errors.csv,201,1.50624425977881,0.012490880259149923,1.5281513400529443,0.05788284602590595,0.09552096111410435,0.23847244938165196,0.7615275502600283,0.3789575813125022,0.38256996894752604,0.3131501273988368,201,1.2809597154458363,0.5697219181527917,0.22641117870807648,3.777986764907837,0.9891014102033864,0.2507404321324618,0.6461538505489499,0.6887037497751383,0.9987567786134178,0.9893941956727803,363,0.9893108452102998,360,0.9888585304580312,363,0.058470167219638824,0.2777237445116043,402,1.0,1.0,1.0,1.0,0.02915348713077716,0.022326861142148425,121,1.0,1.0,1.0,1.0,0.029368792991500255,0.02256867240283115,121,-0.0011330501846045502,-0.0003758183688171639,0.0014208264587339291,0.5371900826446281,0.5454545454545454,0.5371900826446281,not available in eval_details,
A0D,S1R,3,D:\code\python\project-2\project_root\results\phase2_me_a0_dir_hs_only\eval_details\phase1r_mixed_ME_RGCF_A0D_HS__modelseed3__test_S1R_errors.csv,201,1.5152132542523855,0.013461029474476225,1.5373384362562224,0.05383731229129824,0.08903116184433664,0.2416413655600342,0.7583586333897181,0.36719143939255483,0.39116719399716326,0.3186373239794786,201,1.0488456237449575,0.5867746366636039,0.12073489278554916,3.7751941680908203,0.9873483990451233,0.3250109322608036,0.6482548733025341,0.6722907543507364,0.9971857182294188,0.9879510961736082,363,0.9876679406588125,360,0.9874024926213844,363,0.05413440763950348,0.25427899509668345,402,1.0,1.0,1.0,1.0,0.03213073263195024,0.024419826126439656,121,1.0,1.0,1.0,1.0,0.032821201157471364,0.02507205975572925,121,-0.00025058987219471577,-4.658620219585324e-05,0.000505828660381727,0.4793388429752066,0.5950413223140496,0.4793388429752066,not available in eval_details,
A0D,S2R,3,D:\code\python\project-2\project_root\results\phase2_me_a0_dir_hs_only\eval_details\phase1r_mixed_ME_RGCF_A0D_HS__modelseed3__test_S2R_errors.csv,201,1.515221863628939,0.013258113830706807,1.5374457398886352,0.05389045677481792,0.08905350650977069,0.2416858845212764,0.7583141158617551,0.3671721642092488,0.3911419516525063,0.31871473768706304,201,1.2805453058499008,0.5709750212851761,0.22559568285942078,3.779247522354126,0.9874456023704871,0.3450552755768991,0.6611477956920061,0.6878697355304392,0.9974100840622393,0.9882052338529402,363,0.9878110771794177,360,0.9878775208534384,363,0.058470167219638824,0.2777237445116043,402,1.0,1.0,1.0,1.0,0.03247497699672903,0.024731990607890917,121,1.0,1.0,1.0,1.0,0.033560465190036234,0.025724691854528157,121,-0.0001817244636125801,-4.3273218407118614e-05,0.00038208301402320547,0.4793388429752066,0.5785123966942148,0.4793388429752066,not available in eval_details,
A0D,S1R,4,D:\code\python\project-2\project_root\results\phase2_me_a0_dir_hs_only\eval_details\phase1r_mixed_ME_RGCF_A0D_HS__modelseed4__test_S1R_errors.csv,201,0.5150782201210142,0.0983378343191523,0.7041047503998117,0.24723697877452283,0.4187698854701499,0.06687515863228224,0.933124842474339,0.8800379342305324,0.0530869082438066,0.0716679650870203,201,1.069827698319409,0.6515065080784171,0.03489138185977936,4.171980857849121,0.5094193106963353,0.7861368129930202,0.5617003475317772,0.42260740167962657,0.5090553493130447,0.4902273788861346,363,0.5129905826950546,360,0.5807098155511704,363,0.05413440763950348,0.25427899509668345,402,1.0,1.0,1.0,1.0,0.03450645447884737,0.02917545982833433,121,1.0,1.0,1.0,1.0,0.053587835586114116,0.04634647340559947,121,-0.101536905485367,-0.021787585552073708,0.2225051551810966,0.768595041322314,0.7107438016528925,0.7520661157024794,not available in eval_details,
A0D,S2R,4,D:\code\python\project-2\project_root\results\phase2_me_a0_dir_hs_only\eval_details\phase1r_mixed_ME_RGCF_A0D_HS__modelseed4__test_S2R_errors.csv,201,0.5180004723608955,0.09888092166464649,0.7106147277415578,0.2472307704655923,0.41887596496516827,0.06812629479124128,0.9318737077556093,0.8789935232592657,0.05288018449634363,0.07310678928298286,201,1.3005734236530997,0.6036609500842249,0.13334576785564423,4.169534683227539,0.5204481125374089,0.7887429424300783,0.5749944812037822,0.45196100617311064,0.530210432430585,0.49254925232871566,363,0.5735273887539881,360,0.5862607854177668,363,0.058470167219638824,0.2777237445116043,402,1.0,1.0,1.0,1.0,0.03596475809136063,0.03055619327374618,121,1.0,1.0,1.0,1.0,0.05614240142740001,0.04898214920554772,121,-0.1294389645268848,-0.037239471496629324,0.36197618610602766,0.768595041322314,0.743801652892562,0.7603305785123967,not available in eval_details,
