method,scenario,model_seed,p_node,m_node,mean_mp_attn
A0D,S1R,0,P1,M1,0.437371241957394
A0D,S1R,0,P1,M2,0.19398346239358039
A0D,S1R,0,P1,M3,0.1939693719741717
A0D,S1R,0,P1,M4,0.08806660044845657
A0D,S1R,0,P1,M5,0.08660932474616748
A0D,S1R,0,P2,M1,0.19886752243955336
A0D,S1R,0,P2,M2,0.4304677774360524
A0D,S1R,0,P2,M3,0.19403278115969985
A0D,S1R,0,P2,M4,0.08916219946608614
A0D,S1R,0,P2,M5,0.08746972101837841
A0D,S1R,0,P3,M1,0.19777242928298552
A0D,S1R,0,P3,M2,0.1931369154162668
A0D,S1R,0,P3,M3,0.4281277290327632
A0D,S1R,0,P3,M4,0.0900335061312908
A0D,S1R,0,P3,M5,0.09092941917293701
A0D,S2R,0,P1,M1,0.4372728007349802
A0D,S2R,0,P1,M2,0.19347838916588778
A0D,S2R,0,P1,M3,0.19346822019833237
A0D,S2R,0,P1,M4,0.08823825241024814
A0D,S2R,0,P1,M5,0.08754233619318673
A0D,S2R,0,P2,M1,0.19909623732317738
A0D,S2R,0,P2,M2,0.4310394217125812
A0D,S2R,0,P2,M3,0.1942407419877266
A0D,S2R,0,P2,M4,0.08879821725300889
A0D,S2R,0,P2,M5,0.0868253819829789
A0D,S2R,0,P3,M1,0.1980048349840724
A0D,S2R,0,P3,M2,0.19332776474418925
A0D,S2R,0,P3,M3,0.42870656174806815
A0D,S2R,0,P3,M4,0.08972795530041652
A0D,S2R,0,P3,M5,0.0902328832232537
A0D,S1R,1,P1,M1,0.4626322354546827
A0D,S1R,1,P1,M2,0.21646338671594118
A0D,S1R,1,P1,M3,0.2164388313074017
A0D,S1R,1,P1,M4,0.05224624639423332
A0D,S1R,1,P1,M5,0.05221930444611246
A0D,S1R,1,P2,M1,0.21965393349898987
A0D,S1R,1,P2,M2,0.457576261675773
A0D,S1R,1,P2,M3,0.21671490823451559
A0D,S1R,1,P2,M4,0.05310968246626024
A0D,S1R,1,P2,M5,0.05294521455073831
A0D,S1R,1,P3,M1,0.21929478660151733
A0D,S1R,1,P3,M2,0.21638492965579625
A0D,S1R,1,P3,M3,0.45639557283909166
A0D,S1R,1,P3,M4,0.053208329524863415
A0D,S1R,1,P3,M5,0.05471637976629224
A0D,S2R,1,P1,M1,0.46223686939448266
A0D,S2R,1,P1,M2,0.21616889091569985
A0D,S2R,1,P1,M3,0.21616609527993558
A0D,S2R,1,P1,M4,0.05247780714017242
A0D,S2R,1,P1,M5,0.05295034030924982
A0D,S2R,1,P2,M1,0.21982159417363542
A0D,S2R,1,P2,M2,0.45789888352897035
A0D,S2R,1,P2,M3,0.21685695744569028
A0D,S2R,1,P2,M4,0.05288356928089958
A0D,S2R,1,P2,M5,0.05253899201231809
A0D,S2R,1,P3,M1,0.21942890112969413
A0D,S2R,1,P3,M2,0.2164685722459015
A0D,S2R,1,P3,M3,0.45668857518713274
A0D,S2R,1,P3,M4,0.053050812723031686
A0D,S2R,1,P3,M5,0.05436313598977392
A0D,S1R,2,P1,M1,0.38351738408430297
A0D,S1R,2,P1,M2,0.19123323825164815
A0D,S1R,2,P1,M3,0.19009141475703586
