scenario_id,scenario_label,method,method_category,n_runs,num_points_total,rmse_mean,rmse_std,p95_mean,p95_std,p99_mean,p99_std,max_mean,max_std
S1R,basic-3track-2evidence,AVG-3T,rule_baseline,1,201,1.2452789120577477,,1.9639839767891998,,3.3064263801336686,,3.9628604395326446,
S1R,basic-3track-2evidence,CI-3T,rule_baseline,1,201,1.5913786757647017,,2.525518933251279,,4.396586261588223,,4.97198471566522,
S1R,basic-3track-2evidence,ME-RGCF-A0D-HS,learned,1,201,1.2009850141220124,,1.7750574350357056,,3.314242124557495,,3.7714345455169678,
S1R,basic-3track-2evidence,WAA-MM-3T,rule_baseline,1,201,1.2479114869433297,,1.9350986524722729,,3.4140564877102313,,3.707513706977116,
S1R,basic-3track-2evidence,single-T1,rule_baseline,1,201,1.6302153889040016,,2.525518807726141,,4.366916909676674,,5.079488978865406,
S1R,basic-3track-2evidence,single-T2,rule_baseline,1,201,1.574944019292477,,2.540807842525709,,3.399482506942454,,4.221134530692936,
S1R,basic-3track-2evidence,single-T3,rule_baseline,1,201,2.2540008526361377,,3.6164356381583516,,5.513093982634703,,11.759960414970257,
S2R,maneuver-3track-2evidence,AVG-3T,rule_baseline,1,201,1.5293040364992998,,2.5748231829477146,,3.309031812503152,,3.966568253212787,
S2R,maneuver-3track-2evidence,CI-3T,rule_baseline,1,201,1.8072653077298313,,2.6229359598952406,,4.402733298072996,,4.97601200548633,
S2R,maneuver-3track-2evidence,ME-RGCF-A0D-HS,learned,1,201,1.4014145381935035,,2.060551881790161,,3.3196752071380615,,3.7754836082458496,
S2R,maneuver-3track-2evidence,WAA-MM-3T,rule_baseline,1,201,1.5054771793926585,,2.325582189138076,,3.4166261281062478,,3.7095423667653087,
S2R,maneuver-3track-2evidence,single-T1,rule_baseline,1,201,1.867557627810617,,2.671249891436304,,4.3735382404893,,5.0843321197172315,
S2R,maneuver-3track-2evidence,single-T2,rule_baseline,1,201,1.799736791588507,,2.6682809785771617,,3.410578498527879,,4.218230287883756,
S2R,maneuver-3track-2evidence,single-T3,rule_baseline,1,201,2.580419164289125,,4.513396705618035,,5.386106263001735,,11.767286242452107,
