fault_active_s1,fault_active_s2,fault_active_s3,fault_active_s4,k,t,valid_s1,valid_s2,valid_s3,valid_s4,w_s1,w_s2,w_s3,w_s4
0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,1.0,1.0,0.24122804403305054,0.18748772144317627,0.25541743636131287,0.3158668279647827
0.0,0.0,0.0,0.0,1,0.10000000149011612,1.0,1.0,1.0,1.0,0.2367536425590515,0.27664685249328613,0.24353422224521637,0.24306528270244598
0.0,0.0,0.0,0.0,2,0.20000000298023224,1.0,1.0,1.0,1.0,0.18562155961990356,0.22628898918628693,0.25519827008247375,0.3328911364078522
0.0,0.0,0.0,0.0,3,0.30000001192092896,1.0,1.0,1.0,1.0,0.2776734530925751,0.24744245409965515,0.09363970905542374,0.38124436140060425
0.0,0.0,0.0,0.0,4,0.4000000059604645,1.0,1.0,1.0,1.0,0.3870430290699005,0.25519871711730957,0.14294476807117462,0.21481341123580933
0.0,0.0,0.0,0.0,5,0.5,1.0,1.0,1.0,1.0,0.26448166370391846,0.4237038791179657,0.20800365507602692,0.10381082445383072
0.0,0.0,0.0,0.0,6,0.6000000238418579,1.0,1.0,1.0,1.0,0.17574359476566315,0.41871047019958496,0.1819651573896408,0.2235807478427887
0.0,0.0,0.0,0.0,7,0.699999988079071,1.0,1.0,1.0,1.0,0.17442728579044342,0.2667860686779022,0.1292688101530075,0.4295178949832916
0.0,0.0,0.0,0.0,8,0.800000011920929,1.0,1.0,1.0,1.0,0.2093408852815628,0.2674621641635895,0.16970962285995483,0.35348737239837646
0.0,0.0,0.0,0.0,9,0.8999999761581421,1.0,1.0,1.0,1.0,0.16674482822418213,0.2109595686197281,0.2621481120586395,0.36014753580093384
0.0,0.0,0.0,0.0,10,1.0,1.0,1.0,1.0,1.0,0.2467859834432602,0.19094985723495483,0.23512309789657593,0.32714104652404785
0.0,0.0,0.0,0.0,11,1.100000023841858,1.0,1.0,1.0,1.0,0.18600045144557953,0.20092043280601501,0.16430629789829254,0.4487728774547577
0.0,0.0,0.0,0.0,12,1.2000000476837158,1.0,1.0,1.0,1.0,0.17281854152679443,0.19592396914958954,0.1900235414505005,0.44123396277427673
0.0,0.0,0.0,0.0,13,1.2999999523162842,1.0,1.0,1.0,1.0,0.0463520847260952,0.18530315160751343,0.2129395604133606,0.5554052591323853
0.0,0.0,0.0,0.0,14,1.399999976158142,1.0,1.0,1.0,1.0,0.14164046943187714,0.11016714572906494,0.0914909616112709,0.656701385974884
0.0,0.0,0.0,0.0,15,1.5,1.0,1.0,1.0,1.0,0.2483729124069214,0.03692794218659401,0.2523511052131653,0.4623480439186096
0.0,0.0,0.0,0.0,16,1.600000023841858,1.0,1.0,1.0,1.0,0.2594195306301117,0.014925145544111729,0.5716596245765686,0.15399572253227234
